time_s,source_pressure_pa,water_reference_transmission_pa,skin_sample_transmission_pa,skin_sample_pulse_echo_pa
0.0,-3.288750973294648e-27,-0.0006307748569187232,-8.30705061221587e-05,0.00033705994043478534
2.25705329153605e-08,-2.393162575497288e-13,0.0021164954279219014,-0.0011199651711374134,0.0006519529004877046
4.5141065830721e-08,-6.426887063158173e-13,0.0007817099797504776,-0.0008236880063963839,0.0005011124704689083
6.771159874608151e-08,-1.2552432279262793e-12,-0.0008523525231380731,0.0019134612760398349,-0.00029792258816186405
9.0282131661442e-08,-2.1077068708969e-12,-0.00014596676204416524,0.000644567074139851,0.0011761846107011243
1.128526645768025e-07,-3.1951799666486627e-12,-0.0004640650422603883,-0.00043469147268659783,-0.00012663659379769413
1.3542319749216302e-07,-4.4463673706168215e-12,-0.0009171166066335551,-0.00029734638317054074,-0.0008881234223661719
1.5799373040752352e-07,-5.682947600806365e-12,0.0003996718515973395,0.0012638846393296333,-0.000666367228253805
1.80564263322884e-07,-6.571034245407267e-12,0.0012727602653712486,0.0015171261048171358,0.0022396352907793973
2.031347962382445e-07,-6.570376004325009e-12,-0.0006698108907198851,-0.0010167436601263584,-0.0017496206439146234
2.25705329153605e-07,-4.892279944821557e-12,-0.00032143864938455634,0.0006000420032742515,0.00075651594810874
2.482758620689655e-07,-4.842253626821661e-13,0.0008453610844414412,-0.00013841660364274512,-0.000338565162459854
2.7084639498432604e-07,7.932654657495479e-12,0.0007197177289574702,0.0017698260065846022,-0.0016487185021626513
2.9341692789968654e-07,2.173866878260662e-11,0.00016975866520157793,-0.0017022970496824391,0.0010856701623436062
3.1598746081504703e-07,4.2162076794140346e-11,-0.0013043076565640288,0.0003724088799124723,-0.0013363039782409902
3.3855799373040753e-07,6.985403473573648e-11,0.0007911579154642438,-0.0007838899256473789,-0.0005818730822073206
3.61128526645768e-07,1.0425617829188668e-10,-0.0005960281421078747,0.000831598767006288,0.0006986934767587932
3.836990595611285e-07,1.427464791454177e-10,-0.0026693605372472866,-0.0003548498446964321,0.0010186117398935685
4.06269592476489e-07,1.795905307043993e-10,0.000570783819075406,0.0012127813010959967,-0.0002489380223591647
4.288401253918495e-07,2.047924826735532e-10,-0.0007719301822010689,0.0010912232054436344,-0.001078203277718151
4.5141065830721e-07,2.0303592893956665e-10,-0.0012901457160971372,0.0013487207197809062,-0.00017789533354605955
4.7398119122257055e-07,1.5302939395786307e-10,0.0015968619486706683,-0.0006598430705843862,0.001297165051644047
4.96551724137931e-07,2.7715729518812923e-11,-0.00013648485581389033,-0.00034171121005188395,-0.0003574065387622073
5.191222570532915e-07,-2.040486928003098e-10,9.008867348542034e-05,-0.0006261440096072376,-0.0001854123157878862
5.416927899686521e-07,-5.73622779198094e-10,5.247100123829542e-05,-0.0011795431470695565,-0.0005673585175069896
5.642633228840126e-07,-1.1057574304242463e-09,0.00043810475504156636,-0.0022322748293578613,-0.0006151348732747258
5.868338557993731e-07,-1.808165312047081e-09,0.0001308827950818766,-0.0012169039665781928,2.136908608597063e-05
6.094043887147336e-07,-2.6571547763404126e-09,-0.00013045586620222255,-0.00018671194118839832,-0.0024226971028485683
6.319749216300941e-07,-3.5796281159573383e-09,0.0007859165898544635,0.0006977615362300569,0.0006218553935115023
6.545454545454546e-07,-4.432748340809937e-09,0.0005657129337842206,0.0012676228690422767,0.0012082978630524811
6.771159874608151e-07,-4.9839958247099335e-09,0.0013273072326235819,0.0023329771838444483,-0.000815330667995553
6.996865203761756e-07,-4.896140196324437e-09,0.0011969217818399013,0.0008031214093190262,0.0010575416413525546
7.22257053291536e-07,-3.7237160150731238e-09,-0.0005682306910085573,-0.001958115698921779,-0.0007959097657586413
7.448275862068965e-07,-9.296450457940411e-10,0.00023585148922882485,-0.0012089505492717406,-0.0025084452144679423
7.67398119122257e-07,4.06774835258052e-09,0.0004216719501497177,-0.00021679590334691123,0.0004801192086075961
7.899686520376175e-07,1.1806561535660436e-08,-0.0027624580926815757,0.00029672279840778343,0.0003445187460168736
8.12539184952978e-07,2.2642583002508103e-08,-0.000791049538589911,8.548376853978432e-05,-0.0009260986225769757
8.351097178683385e-07,3.655480734107407e-08,-0.0008388920221037451,0.00032701508057470977,-0.0004450528232080038
8.57680250783699e-07,5.289794066341624e-08,0.0008872007988969992,1.9137632277338786e-05,0.0006888278252056516
8.802507836990595e-07,7.011706686935033e-08,-0.0006564007946882172,-0.0014382204990006594,-6.195482259393078e-05
9.0282131661442e-07,8.545681524947959e-08,-0.002155618937722122,0.0016337059996610296,-0.0012108318086312979
9.253918495297806e-07,9.471874479796655e-08,0.0020512044071412153,0.0005722106322651249,0.00039776424129755127
9.479623824451411e-07,9.214452442381555e-08,5.043584047266928e-05,-0.0018250893218644962,0.000689080630744592
9.705329153605016e-07,7.052560051543322e-08,0.0007708082858204296,0.0005167484680629778,-0.0006669453356319031
9.93103448275862e-07,2.1657396617748544e-08,-0.0007823962841666213,-0.0016434627474826047,-0.0010001108472611662
1.0156739811912226e-06,-6.273911425041605e-08,-0.0013499191989948223,-0.00026720099831615136,-0.0032046276953738946
1.038244514106583e-06,-1.8952165376257488e-07,0.0008153191023965782,-0.0010202471522054173,-0.0012321467721938888
1.0608150470219436e-06,-3.619956834550184e-07,-0.0002949968803392983,-0.00027682512141268423,-0.000565810156237315
1.0833855799373042e-06,-5.77171034162389e-07,-0.0007190561734959557,-0.0030759107253540145,0.0014500550939165198
